Column1,Date,Startup,Industry,Location,Investor,Type,Amount
539,12-10-2018,Blackbuck,Logistics,Bangalore,Sequoia Capital India,Unknown,14680000
540,12-10-2018,LetsTransport,Logistics,Bangalore,Fosun International,Series C,12000000
541,01-09-2018,Netmeds,Software,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Unknown,35000000
542,03-09-2018,Udaan,Logistics,Bangalore,DST Global and Lightspeed Venture Partners’ global fund.,Unknown,225000000
543,03-09-2018,Daily hunt,Software,Bangalore,Falcon Edge,Unknown,6390000
544,04-09-2018,3HCare,Healthcare & Hospitality,Delhi,Secret,Seed,1000000
546,05-09-2018,Nykaa,Software,Mumbai,Lighthouse,Unknown,157200000
548,06-09-2018,Dream11,Software,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Unknown,100000000
549,10-09-2018,MamaEarth,Healthcare & Hospitality,Gurgaon,Stellaris Ventures & Others,Unknown,4000000
550,11-09-2018,AutoGrid,Software,Bangalore,"CLP Holdings Group, Innogy, Ørstead, and Tenaska",Unknown,32000000
551,11-09-2018,Pharmeasy,Software,Mumbai,InnoVen Capital,Debt,5500000
552,11-09-2018,Upwards,Finance,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Unknown,5000000
553,12-09-2018,Kissht,Finance,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.

",Unknown,30000000
555,01-08-2018,dishq,Consumables,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners ",Seed,400000
557,02-08-2018,Samosa Labs,Software,Hyderabad,Xiaomi and Sequoia Capital India,Unknown,7000000
558,03-08-2018,ZiffyHomes,Software,Gurgaon,Y Combinator,Unknown,120000
559,07-08-2018,My OmNamo,Software,Mumbai,Secret,Seed,1000000
560,07-08-2018,ShopX,Software,Bangalore,Fung Strategic Holdings,Unknown,35000000
561,07-08-2018,MakeMyTrip,Software,Gurgaon,MakeMyTrip Limited,Unknown,10000000
562,08-08-2018,Hansel io,Software,Bangalore,Vertex Ventures,Seed,4000000
563,08-08-2018,Metro Bikes,Software,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Unknown,12200000
564,08-08-2018,Phone Pe,Software,Bangalore,Flipkart,Unknown,66000000
565,09-08-2018,quizizz,Education,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed,3000000
566,09-08-2018,Happy EMI,Finance,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed,1000000
567,13-08-2018,Inthree,Software,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed,4000000
568,13-08-2018,Observe AI,Software,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Unknown,8000000
569,16-08-2018,Enakshi,Software,Ahmedabad,Secret,Seed,114811
570,17-08-2018,EazyDiner,Software,Gurgaon,Denlow Investment Trust and Beenext,Unknown,5850000
571,20-08-2018,Finzy,Finance,Bangalore,Secret,Seed,1000000
572,20-08-2018,RawPressery,Software,Mumbai,Alteria Capital,Debt,4800000
573,22-08-2018,Pi Ventures,Software,Bangalore,CDC Group plc ,Unknown,6000000
574,22-08-2018,Revv,Software,Gurgaon,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Unknown,14270000
575,26-08-2018,ZestMoney,Software,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network ",Unknown,13400000
576,26-08-2018,Shubh Loans,Finance,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Unknown,4200000
577,27-08-2018,MyUpchar,Healthcare & Hospitality,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Unknown,5000000
578,28-08-2018,Narvar,Software,Bangalore,Accel (formerly known as Accel Partners),Unknown,3000000
579,30-08-2018,True North,Finance,Mumbai,Secret,Unknown,600000000
581,02-07-2018,Biryani By Kilo,Software,Gurgaon,Ajay Relan and Vinay Mittal,Seed,1000000
582,04-07-2018,Anchanto,Software,Pune,MDI Ventures & Telkom Indonesia,Unknown,4000000
